Time,Ask,Bid,AskVolume,BidVolume
01.05.2012 14:08:42.923,81.088,81.074,1.50,1.58
01.05.2012 14:08:43.317,81.083,81.070,1.50,2.33
01.05.2012 14:08:44.996,81.083,81.072,1.50,1.58
01.05.2012 14:08:45.978,81.077,81.072,1.50,1.58
01.05.2012 14:08:46.296,81.076,81.068,1.50,1.58
01.05.2012 14:08:46.364,81.075,81.068,1.50,1.58
01.05.2012 14:08:46.434,81.075,81.062,1.50,2.33
01.05.2012 14:08:46.623,81.075,81.058,3.08,1.95
01.05.2012 14:08:46.816,81.075,81.062,1.50,1.58
01.05.2012 14:08:47.072,81.075,81.060,1.50,1.58
01.05.2012 14:08:47.145,81.075,81.062,1.50,1.58
01.05.2012 14:08:47.454,81.076,81.064,1.50,1.58
01.05.2012 14:08:47.804,81.076,81.066,1.50,1.58
01.05.2012 14:08:47.876,81.076,81.064,1.50,1.58
01.05.2012 14:08:48.664,81.076,81.063,1.50,1.58
01.05.2012 14:08:49.193,81.077,81.060,2.33,2.33
01.05.2012 14:08:49.446,81.080,81.065,3.08,1.58
01.05.2012 14:08:49.513,81.080,81.065,3.08,1.58
01.05.2012 14:08:49.834,81.082,81.067,3.83,1.58
01.05.2012 14:08:50.204,81.084,81.069,5.40,1.58
01.05.2012 14:08:50.832,81.084,81.069,3.83,1.58
01.05.2012 14:08:52.425,81.083,81.069,1.50,1.58
01.05.2012 14:08:53.366,81.084,81.069,1.58,1.58
01.05.2012 14:08:53.435,81.082,81.067,1.58,2.18
01.05.2012 14:08:53.753,81.086,81.072,2.25,1.58
01.05.2012 14:08:54.073,81.086,81.070,2.25,3.15
01.05.2012 14:08:54.643,81.084,81.069,2.33,3.15
01.05.2012 14:08:54.953,81.085,81.071,1.50,1.58
01.05.2012 14:08:55.425,81.084,81.069,2.33,1.58
01.05.2012 14:08:55.493,81.084,81.069,2.33,1.58
01.05.2012 14:08:55.563,81.080,81.065,2.33,4.58
01.05.2012 14:08:56.095,81.083,81.066,2.33,2.33
01.05.2012 14:08:57.143,81.082,81.067,2.33,1.58
01.05.2012 14:08:57.215,81.080,81.065,2.33,3.90
01.05.2012 14:08:57.343,81.080,81.065,2.33,2.33
01.05.2012 14:08:57.655,81.080,81.065,2.93,2.33
01.05.2012 14:08:57.724,81.078,81.063,1.58,5.40
01.05.2012 14:08:57.854,81.082,81.066,2.33,2.33
01.05.2012 14:08:57.984,81.083,81.066,1.58,1.58
01.05.2012 14:08:58.172,81.084,81.069,3.08,1.58
01.05.2012 14:08:58.762,81.084,81.069,3.08,1.58
01.05.2012 14:08:59.274,81.084,81.069,1.58,2.33
01.05.2012 14:08:59.785,81.087,81.070,2.33,1.58
01.05.2012 14:09:00.092,81.088,81.073,3.83,1.58
